Material,Value,Spell,Consumed?,Source,Pg.,Lvl.,Notes,School,Artificer,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard
"Cloth, Tiny white strip",0.02 gp (2 cp) (suggested),Aid,N,PHB,211,2,"Dressing for a wound. Like a... band-aid. Thanks, Janne!",Abjuration,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Club,0.50 gp (5 sp) (suggested),Shillelagh,N,PHB,275,0,May substitute a quarterstaff,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Coal,1 gp (suggested),Darkness,N,PHB,230,2,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Colored Sand (red, yellow, and blue)",10 gp (suggested),Color Spray,(DM's Discretion),PHB,222,1,,Illusion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Copper Piece,1 cp,Detect Thoughts,N,PHB,231,2,"Get it? Get it??? ""A penny for your thoughts?""",Divination,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Copper Pieces,2 cp,Gentle Repose,N,PHB,245,2,Copper pieces must be placed over corpse's eyes for the duration.,Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Copper Wire,0.10 gp (1 sp) per foot (suggested),Message,N,PHB,259,0,,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Copper Wire,0.10 gp (1 sp) per foot (suggested),Sending,N,PHB,274,3,"A reference to copper phone lines. (Thanks, Aaron Timlake!)",Evocation,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Cork,0.02 gp (2 cp) (suggested),Water Walk,N,PHB,287,3,,Transmutation,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Corn, powdered",0.05 gp (5 cp) (suggested),Rope Trick,N,PHB,272,2,,Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Cricket,0.05 gp (5 cp) (suggested),Sleep,N,PHB,276,1,"You know, like how crickets chirp when you're sleeping or bored or to punctuate an awkward moment. Thanks, Kibchi Redanlae!",Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Crystal Bead,0.50 gp (5 sp) (suggested),Leomund's Tiny Hut,N,PHB,255,3,,Evocation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Crystal Hemisphere,120 gp (suggested),Otiluke's Resilient Sphere,N,PHB,264,4,,Evocation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Crystal or Glass Cone,25 gp (suggested),Cone of Cold,N,PHB,224,5,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"Crystal Sphere, small",20 gp (suggested),Otiluke's Freezing Sphere,N,PHB,263,6,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Crystal Vial of phosphorescent material,20 gp (suggested),Hypnotic Pattern,N,PHB,252,3,"""So like a lava lamp?"" Ohh, that's good. Thanks, Janne!",Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Cured Leather,0.10 gp (1 sp) (suggested),Mage Armor,N,PHB,256,1,,Abjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Detritus from the target creature,-,Simulacrum,Y,PHB,276,7,"Fingernail clippings, hair, etc.",Illusion,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Diamond,50 gp,Chromatic Orb,N,PHB,221,1,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Diamond,"1,000 gp",Clone,Y,PHB,222,8,,Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Diamond,"5,000 gp",Gate,N,PHB,224,9,,Conjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Diamond,500 gp,Mighty Fortress,Y,XGtE,161,8,,Conjuration,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Diamond,500 gp,Raise Dead,Y,PHB,270,5,,Necromancy,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Diamond,"1,000 gp",Resurrection,Y,PHB,272,7,,Necromancy,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Diamond (as dust),200 gp,Glyph of Warding,Y,PHB,245,3,,Abjuration,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Diamond (as dust),100 gp,Greater Restoration,Y,PHB,246,5,,Abjuration,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Diamond (as dust),25 gp,Nondetection,Y,PHB,263,3,Sprinkled over target,Abjuration,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Diamond (as dust),100 gp,Stoneskin,Y,PHB,278,4,,Transmutation,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
"Diamond and Opal, powdered mix","1,000 gp",Symbol,Y,PHB,280,7,,Abjuration,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Diamonds,300 gp,Revivify,Y,PHB,272,3,,Conjuration,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Diamonds,"25,000 gp",True Resurrection,Y,PHB,284,9,,Necromancy,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Dirt,-,Earthquake,N,PHB,236,8,,Evocation,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Dirt,-,Flesh to Stone,N,PHB,243,6,The spell components for this spell are ingredients used to make concrete.,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Dirt,-,Longstrider,N,PHB,256,1,,Transmutation,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Distilled Spirits,0.05 gp (5 cp) (suggested),False Life,(DM's Discretion),PHB,239,1,"Thanks to Rachael Wright for noting the difference between ""alcohol"" and the more specific ""distilled spirits!""",Necromancy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Divinatory Tools,100 gp,Find the Path,N,PHB,240,6,"bones, sticks, cards, teeth, runes, dice, etc.",Divination,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Dried Carrot,0.05 gp (5 cp) (suggested),Darkvision,N,PHB,230,2,"May use Agate as a component instead.
...because carrots are good for your vision! (Technically they're not, but that's a rumor started by British propagandists during WW2. They didn't want the Axis to know they had acquired radar technology, so thhey invented this story about how they could see so well at night.)",Transmutation,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Dust,-,Control Water,N,PHB,227,4,,Transmutation,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Dust,-,Disintegrate,N,PHB,233,6,,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Dust,-,Dust Devil,N,EEPC,16,2,"Also available in PotA pg. 235, XGtE pg. 154",Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Dust,-,Ice Storm,N,PHB,252,4,,Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Dust,-,Sleet Storm,N,PHB,276,3,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"Earth, Wood, and Water mixture",-,Control Weather,N,PHB,228,8,,Transmutation,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Eggshell,0.30 gp (3 sp) (suggested),Bigby's Hand,N,PHB,218,5,,Evocation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Eggshells,5 gp (suggested),Rary's Telepathic Bond,N,PHB,270,5,Requires eggshells from two different types of creatures.,Divination,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Exquisite Chest, 3' x 2' x 2', made of rare materials","5,000 gp",Leomund's Secret Chest,N,PHB,254,4,,Conjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Exquisite Chest, tiny replica",50 gp,Leomund's Secret Chest,N,PHB,254,4,,Conjuration,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Eyelash in gum arabic,5 gp (suggested),Invisibility,N,PHB,254,2,,Illusion,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"Fan, tiny",0.50 gp (5 sp) (suggested),Wind Wall,N,PHB,288,3,,Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Feather,0.10 gp (1 sp) (suggested),Enhance Ability,N,PHB,237,2,,Transmutation,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Feather,0.10 gp (1 sp) (suggested),Feather Fall,N,PHB,239,1,,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Feather,0.10 gp (1 sp) (suggested),Tasha's Hideous Laughter,N,PHB,280,1,"It's tickling, of course. (Thanks, Isaac Harvey!)",Enchantment,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Feather from any bird's wing,0.10 gp (1 sp) (suggested),Fly,N,PHB,243,3,,Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Feather of hummingbird,2 gp (suggested),Foresight,N,PHB,244,9,,Divination,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Feather of owl,0.50 gp (5 sp) (suggested),Identify,N,PHB,252,1,,Divination,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Feather, exotic",3 gp (suggested),Wind Wall,N,PHB,288,3,,Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Feather, white",0.10 gp (1 sp) (suggested),Fear,N,PHB,239,3,"""What are you, chicken?"" (booooo!) Thanks, Isaac Harvey!",Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Feldspar,0.10 gp (1 sp) (suggested),Moonbeam,N,PHB,261,2,,Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Firefly,0.10 gp (1 sp) (suggested),Fire Shield,N,PHB,242,4,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Firefly,0.10 gp (1 sp) (suggested),Light,N,PHB,255,0,May use phosphorescent moss instead.,Evocation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Flame,-,Heat Metal,N,PHB,250,2,,Transmutation,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Flame,-,Sunburst,N,PHB,279,8,,Evocation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Flame,-,Wind Walk,N,PHB,288,6,,Transmutation,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Flea (Living),-,Infestation,(DM's Discretion),XGtE,158,0,,Conjuration,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Fleece,0.05 gp (5 cp) (suggested),Major Image,N,PHB,258,3,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Fleece,0.05 gp (5 cp) (suggested),Minor Illusion,N,PHB,260,0,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Fleece,0.05 gp (5 cp) (suggested),Phantasmal Force,N,PHB,264,2,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Fleece,0.05 gp (5 cp) (suggested),Programmed Illusion,N,PHB,269,6,,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Fleece,0.05 gp (5 cp) (suggested),Silent Image,N,PHB,276,1,Pull the wool over their eyes with illusions!,Illusion,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Flesh,-,Animate Dead,N,PHB,212,3,,Necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Flesh, a cubic inch",-,Clone,Y,PHB,222,8,I guess a cubic inch is better than a full pound of flesh.,Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Focus,"1,000 gp",Scrying,N,PHB,273,5,"Crystal ball, silver mirror, etc.",Divination,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
Food morsel,0.01 gp (1 cp) (suggested),Animal Friendship,(DM's Discretion),PHB,212,1,,Enchantment,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Food morsel,0.01 gp (1 cp) (suggested),Animal Messenger,(DM's Discretion),PHB,212,2,,Enchantment,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Forked Metal Rod,250 gp,Plane Shift,N,PHB,266,7,Must be attuned to a particular plane of existence,Conjuration,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
Forked Twig,0.10 gp (1 sp) (suggested),Locate Object,N,PHB,256,2,"Dowsing rods are often forked sticks. (Thanks, Tucker Collins!)

",Divination,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Fur,0.30 gp (3 sp) (suggested),Chain Lightning,N,PHB,221,6,"Probably because of static electricity! Same with Lightning Bolt, and the Amber Rod for both spells. Thanks, Charlie Hogin!",Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Fur,0.30 gp (3 sp) (suggested),Enhance Ability,N,PHB,237,2,,Transmutation,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Fur,0.30 gp (3 sp) (suggested),Lightning Bolt,N,PHB,255,3,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
Fur of Bat,2 gp (suggested),Arcane Eye,N,PHB,214,4,,Divination,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Fur of Bat,2 gp (suggested),Darkness,N,PHB,230,2,,Evocation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Fur of Bloodhound,1 gp (suggested),Locate Animals or Plants,N,PHB,256,2,"""To sniff them out."" (Thanks, Margaret Simonson!)",Divination,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Fur of Bloodhound,1 gp (suggested),Locate Creature,N,PHB,256,4,"""To sniff them out."" (Thanks, Margaret Simonson!)",Divination,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"Fur, Wrapped in Cloth",0.35 gp (35 cp) (suggested),Beast Bond,N,EEPC,14,1,"Could repurpose the Fur component needed in other spells with the addition of the cloth.
Also available in PotA pg. 233, XGtE pg. 150",Divination,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Gauze,0.10 gp (1 sp) (suggested),Gaseous Form,N,PHB,244,3,,Transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Gem or other ornamental container,500 gp,Magic Jar,Y,PHB,257,6,"May also be a reliquary, crystal, etc. The container is destroyed when the spell ends, not upon casting.",Necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
